heat_transfer_coefficient,tool_thickness,max_temperature
13.32607299,0.046238981,161.32
32.28061302,0.043121771,178.9
23.80635809,0.039691716,177.53
16.31108513,0.046212743,167.66
19.93809904,0.046546667,172.16
26.21134437,0.049504632,175.52
36.4473383,0.036648667,179.89
20.24963508,0.040996165,175.12
12.57360785,0.0475782,157.74
21.1337145,0.049235923,172.0
11.27070009,0.037554166,163.82
24.08286767,0.049115119,174.41
10.6178573,0.047819747,148.3
39.27141699,0.035750947,179.99
11.42598215,0.048723778,151.69
24.55484064,0.03669228,178.57
31.97781837,0.040820174,179.19
12.09241432,0.039062615,164.66
17.72280201,0.045191756,170.39
36.86066043,0.049162962,178.73
14.95851402,0.045989528,165.34
32.38225592,0.049051173,177.89
38.17798725,0.043143486,179.53
25.73597431,0.039846152,178.14
28.88936821,0.043767758,178.1
35.26675841,0.036143129,179.87
12.22649007,0.041640808,162.48
31.09436265,0.043939065,178.56
28.97747843,0.0432782,178.23
18.80592994,0.046332138,171.06
17.02558389,0.035496841,175.27
34.01131584,0.035906903,179.84
39.55680146,0.039263891,179.86
30.79871672,0.036308812,179.6
28.02109595,0.042949567,178.05
27.04227913,0.048939923,176.11
14.83997582,0.042851827,167.51
39.78462093,0.039162842,179.87
27.89385952,0.047875896,176.77
17.37306159,0.044869189,170.13
37.26794329,0.047103596,179.04
35.07828821,0.039759426,179.6
12.68491677,0.041846756,163.58
17.97140447,0.044800592,170.94
31.93368159,0.040448926,179.23
15.48924191,0.03719351,172.6
14.35191756,0.041529526,167.62
34.87077385,0.044257803,179.1
34.1595978,0.03519488,179.89
11.54133999,0.047436073,153.74
25.39407078,0.043543684,177.02
36.04765473,0.040542522,179.6
11.73306464,0.042421628,160.08
37.66840933,0.048456283,178.93
18.10428214,0.043631241,171.78
37.79120737,0.049637533,178.8
10.2813492,0.043198184,152.51
20.81600413,0.040239116,175.84
36.26843316,0.044950885,179.18
21.53864707,0.043830454,174.81
21.51947468,0.039090917,176.7
26.88333653,0.044977108,177.18
30.01546041,0.048316236,177.4
25.89507797,0.036975297,178.82
24.94994856,0.048043352,175.34
23.05739922,0.03560227,178.43
13.76498567,0.035722788,171.2
18.44623989,0.041107964,173.54
23.95659776,0.046691363,175.25
16.40940886,0.039408579,172.31
21.75259411,0.046152295,173.96
38.96683121,0.043450418,179.56
14.66365985,0.044417386,165.96
29.96410605,0.038872953,179.19
35.45036086,0.036883811,179.84
28.72217627,0.043492042,178.12
29.77781676,0.035252919,179.63
10.4979987,0.037328526,161.33
12.4251901,0.042317671,162.4
34.35997692,0.042241067,179.29
14.88941036,0.035952399,172.67
32.66093675,0.046042233,178.5
23.33774625,0.040126925,177.21
25.75780149,0.03641322,178.91
24.87593261,0.042566986,177.1
24.25436204,0.0456228,175.8
21.39535035,0.049775516,171.99
29.29099641,0.038180066,179.2
35.6741068,0.047506454,178.78
26.95355872,0.037847431,178.86
18.05847523,0.040953641,173.24
32.47083266,0.047931643,178.13
24.47423416,0.038730167,178.04
15.25138294,0.038362591,171.49
33.03271465,0.045317324,178.69
38.51994778,0.040017237,179.77
13.0048392,0.043791793,162.64
20.75342846,0.044820437,173.76
19.52383718,0.041520673,174.31
31.63729139,0.035138392,179.77
10.96588757,0.040849532,158.92
